Fund Name,Country,Region,aum $bn,aum_date,type,quintile,inception,latitude,longitude,"Leader, Finalist, Other",Disclosure 1A - Organization,Disclosure 1B - Financials,Intention 2A - RI Statement,Intention 2B - Downloadable Report,Clarity 3A - Objectives for RI,Clarity 3B - Strategies for RI,Integration 4A -Integrating ESG,Integration 4B -Methodology,Implementation 5A - Examples of RI,Implementation 5B - Measuring RI,"Commitment 6A - Staff, Resources",Commitment 6B - Socializing RI,Accountability 7A - Financial Returns,Accountability 7B - ESG Returns,Partnership 8A - RI Partners,Partnership 8B - RI Leadership,Standards 9A -Uniform Standards,Standards 9B - External Managers,Development 10A - Referencing SDGs,Development 10B - Frontier Markets
Government Pension Fund – Global,Norway,Europe,1019,2017,SWF,1,1990,59.913868,10.752245,Leader's List,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail
Government Pension Investment Fund,Japan,Asia,1445,2017,GPF,1,2006,35.689487,139.691711,Leader's List,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Government Service Insurance System,Philippines,Asia,30,2018,GPF,5,1936,14.548687,120.987908,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail
Grafische Bedrijven (PGB),Netherlands,Europe,29,2018,GPF,2,1953,52.33125,4.87724,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Greater Manchester Pension Fund,UK,Europe,29,2018,GPF,2,1891,53.48018,-2.15688,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Fail
Hawaii Employees Retirement System,USA,North America,16,2018,GPF,3,1926,21.30707,-157.86142,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Healthcare of Ontario Pension Plan (HOOPP),Canada,North America,60,2017,GPF,2,1960,43.64134,-79.38058,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Pass
Hesta,Australia,Oceania,40,2017,GPF,1,1999,-33.8151,151.00324,Finalist,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail
Hong Kong Monetary Authority Investment Portfolio,China (Hong Kong),Asia,534,2017,SWF,3,1993,22.315564,114.180995,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass
Idaho's State Endowment Fund,USA,North America,2,2017,SWF,5,1890,43.61771,-116.20232,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Pass,Pass,Fail,Pass
Illinois Municipal Retirement Fund (IMRF),USA,North America,40,2017,GPF,4,1941,41.84699,-87.92913,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Illinois State Board of Investment,USA,North America,18,2018,GPF,4,1983,41.90016,-87.63273,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Indiana Public Retirement,USA,North America,32,2017,GPF,5,2011,39.7954,-86.16151,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Industriens Pension,Denmark,Europe,25,2018,GPF,2,1992,55.68668,12.5468,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Investment Corporation of Dubai,UAE (Dubai),MENA,230,2017,SWF,5,2006,25.21368,55.28283,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Investment Management Corporation of Ontario,Canada,North America,60,2017,GPF,3,2016,51.253777,-85.323212,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
Iowa Public Employees Retirement System (IPERS),USA,North America,31,2017,GPF,4,1953,41.51877,-93.67038,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Ireland Strategic Investment Fund,Ireland,Europe,10,2017,SWF,1,2014,53.33932,-6.24013,Finalist,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Fail
Ithmar Capital,Morocco,MENA,2,2017,SWF,3,2011,34.021992,-6.83762,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Japan National Public Service (Nenkin),Japan,Asia,150,2017,GPF,5,2010,35.696673,139.621965,Other Rated Fund,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass
JSC Samruk-Kazyna,Kazakhstan,Central Asia,71,2017,SWF,1,2008,51.131866,71.422923,Finalist,Pass,Fail,Pass,Fail,Pass,Fail,Fail,Fail,Pass,Fail,Fail,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Pass
Kansas Public Employees,USA,North America,18,2017,GPF,5,1961,39.05116,-95.67443,Other Rated Fund,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Kentucky Teachers,USA,North America,18,2017,GPF,5,1938,38.1964,-84.82954,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass
Keva,Finland,Europe,62,2018,GPF,2,1988,60.169857,24.938379,Finalist,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Khazanah Nasional Berhad,Malaysia,Asia,39,2017,SWF,1,1994,3.158477,101.712143,Leader's List,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
Korea Investment Corporation,South Korea,Asia,134,2017,SWF,3,2005,37.560201,126.982933,Other Rated Fund,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail
